country code|smsin|smsout|callin|callout|internet
247|2.7342|1.8979|38.4195|37.6149|1408.9294
11|3.1705|1.5685|39.1401|55.1903|1203.2295
168|0.3599|2.8644|25.1736|59.4128|497.2182
61|4.0752|3.8954|70.6732|2.3978|220.8211
167|3.7725|1.5062|84.4085|87.6791|745.8732
238|1.1621|3.5823|67.8484|12.6435|1333.5723
234|4.2525|2.2378|59.0329|80.0146|153.3522
235|0.6843|4.6272|88.4015|94.9585|1405.4897
65|3.3916|4.5442|23.3476|93.59|1064.3945
207|0.6587|4.8895|19.7927|1.9573|1073.0667
208|2.4299|4.6629|67.6756|96.6418|658.4092
245|1.9679|4.8586|81.7156|40.0219|497.231
143|0.4653|1.2932|57.502|68.6169|784.2546
86|1.9387|4.5429|78.567|67.8426|1199.4337
208|3.6404|1.4454|95.1455|3.1113|1203.5387
11|1.5656|4.9347|84.0892|14.0998|931.0327
164|1.7498|4.9875|55.0013|17.7032|1055.753
169|2.4837|3.5175|33.7062|57.7436|1217.0235
93|2.5758|0.1372|28.1489|54.9989|200.39
169|3.6986|4.4425|48.2873|66.2895|979.3461
197|3.2833|0.7759|58.9612|54.372|1362.3629
213|2.8895|4.1434|75.4849|96.3553|522.0874
1|3.6403|1.5655|49.5711|14.2919|520.1041
246|2.4138|2.8911|80.3014|35.3718|512.1157
65|4.6964|0.3062|66.2755|4.1009|886.889
169|0.7851|0.7816|35.5366|90.1396|429.0865
121|3.2802|0.6376|43.3343|9.6177|841.9087
81|3.397|2.9975|68.1234|97.9664|722.7713
56|4.4486|1.5897|75.8472|13.5181|1250.1242
43|4.3103|0.6429|50.1682|9.3343|1312.0814
197|0.604|4.9618|37.2673|22.1193|1137.0596
45|0.3184|1.0542|22.1705|13.2641|1479.2416
22|4.66|1.9999|53.5171|76.8556|1371.5994
217|0.8444|4.9954|70.2507|8.416|862.8173
181|2.3254|3.8694|95.3675|14.5236|465.1535
154|3.8639|4.7745|73.2357|58.8688|443.588
35|3.5805|1.5693|35.3564|90.4981|1439.1332
159|2.7979|2.7853|44.3588|22.416|1435.9887
165|2.0277|1.0884|98.4904|62.1026|1429.3154
158|3.6592|2.3546|12.7733|99.1161|196.0538
214|3.8662|1.0895|27.7635|99.3069|130.7496
119|0.7381|0.1866|45.0715|26.883|198.9724
224|0.864|3.2256|24.1135|89.1802|768.3961
156|4.8095|3.5482|48.5936|26.81|1165.5956
11|4.1925|1.1421|36.3708|94.6696|1234.379
146|1.4568|1.2462|67.3002|22.9205|817.6982
129|0.5181|1.7643|27.948|34.8278|147.405
41|1.3186|2.737|76.633|8.2981|51.1854
141|4.9503|2.9662|61.777|75.059|256.3172
210|4.5648|0.2241|65.4212|28.2448|906.9055
65|2.3473|4.5716|47.8023|65.4379|125.5484
6|3.292|0.0382|81.6321|63.7054|1097.3193
143|1.2066|0.3144|13.2408|20.1256|860.5657
130|1.4747|0.7813|47.2323|99.9572|145.0013
76|2.0877|1.1914|40.8814|77.6201|1003.1524
171|1.5309|2.3626|57.4087|7.5138|458.4967
113|1.3072|1.3848|52.5268|99.0127|137.096
78|2.049|0.2296|57.4627|34.5523|1353.7237
50|1.9925|0.3545|80.4813|61.8791|1260.1436
143|2.7202|3.8021|78.1383|94.0441|1414.2405
144|0.4815|2.7884|46.1165|46.7639|1354.2498
158|4.408|2.384|42.3676|64.675|96.8409
86|3.7994|4.3465|41.4608|73.8423|940.4841
130|3.7263|4.7082|24.3404|76.5612|516.6991
160|4.8968|0.6409|29.0329|46.206|1414.9488
41|0.6564|1.1712|83.8178|12.9514|649.9606
181|4.5695|1.0225|60.2431|1.0378|464.762
136|2.919|1.6556|17.0779|31.3151|1255.4086
144|0.3274|3.4946|98.7002|36.135|632.5106
26|4.7373|1.5408|53.3922|39.7192|201.9764
203|4.5948|2.6571|71.8418|31.8606|1321.5362
97|0.0473|3.7336|73.9056|40.6823|939.3542
205|2.8584|1.5305|16.6704|81.0785|44.7179
176|0.0469|2.5068|81.4644|52.9377|301.8542
237|3.9858|2.6068|42.8611|39.0112|1251.7497
73|2.5832|0.7727|25.9529|71.2305|589.4145
72|4.0907|1.9107|46.4874|20.4004|134.6301
35|3.9643|4.6563|22.2681|41.0723|1086.9603
200|1.3139|2.058|70.9147|56.9196|1163.964
87|1.394|1.5273|80.684|72.8649|1452.4419
107|1.2102|2.0734|85.4575|99.9949|353.2613
102|1.5697|1.2932|91.0653|44.8352|904.1535
170|4.8031|4.6652|26.0571|14.9477|52.0687
15|4.8354|0.2797|33.9615|15.2586|88.7107
194|4.8866|0.5221|35.9803|1.0921|1091.93
209|1.9369|1.2618|80.9471|58.494|928.3772
219|0.2144|4.1913|43.5931|47.7108|950.5933
185|4.2287|4.8582|24.2158|85.5433|1207.5463
157|3.4489|2.1158|82.4747|94.0549|262.5758
228|2.1369|2.3187|54.7695|41.2155|530.4774
72|4.3385|1.7214|59.9531|81.267|955.9049
51|2.8384|2.5543|84.6077|74.3043|952.0642
227|4.3785|3.2442|74.5667|66.3022|502.3665
184|2.7954|3.9067|24.0926|26.3695|536.4264
47|4.0831|2.7743|78.0472|10.2115|641.5678
88|1.8643|4.2066|68.7544|74.1425|617.2793
17|4.2654|4.8159|31.945|18.3159|298.0194
62|0.1025|0.3059|13.5134|54.5636|616.8233
172|1.631|4.3831|40.4314|79.1864|1425.0446
160|4.1069|4.0652|70.8105|94.1124|752.2847
245|3.8096|3.4518|57.476|13.6821|1037.7664
14|1.9902|4.0041|46.8126|73.8974|312.2949
25|0.742|2.9529|14.6295|83.012|1056.7971
87|0.8516|4.979|55.0485|72.7001|752.4085
165|0.4646|1.3236|28.317|95.0927|344.7852
222|4.2821|2.2192|10.2659|81.3117|1146.1783
55|1.4841|3.0904|14.1611|55.7902|300.8465
196|1.7588|3.1932|92.1144|87.9834|274.7514
50|2.1608|1.8406|90.2511|86.3059|1118.9918
167|3.9136|1.1178|95.4702|40.283|1102.505
195|3.0945|4.893|26.7212|24.8928|795.553
223|1.5717|0.0704|37.3052|35.9152|1155.3707
84|0.4849|4.3284|24.1213|66.9667|5.2215
12|2.3168|4.9534|16.9076|51.9886|1430.7366
14|4.967|2.0089|59.9282|27.3271|610.6581
223|2.713|3.9329|98.1668|59.2028|1189.786
191|3.8363|2.5235|46.6558|65.943|711.8012
55|2.7273|3.5751|43.6324|60.5347|346.9846
114|3.7869|4.6933|35.8118|55.2354|492.8707
154|4.0438|1.7583|88.9445|7.0033|253.3128
57|2.6452|2.0764|60.566|17.3077|262.4365
143|1.9976|1.7138|47.4035|0.2856|708.4164
181|3.9233|4.3943|84.2285|27.0518|1464.6477
148|2.5249|4.9419|33.8912|43.7709|1179.2537
199|0.9355|3.2478|64.6962|59.658|1353.3231
55|1.451|1.8001|75.8786|14.6695|413.4209
200|2.4046|0.383|99.7621|40.643|209.5992
250|0.925|2.6241|86.6753|87.1925|49.6062
92|4.2146|4.0973|97.9796|76.9573|631.65
53|0.6727|2.3918|55.0719|72.643|626.0657
168|0.2367|1.2128|36.9339|25.9039|14.4328
28|0.6067|2.4701|23.8852|53.9137|1295.1373
11|3.3924|3.776|74.3037|92.6184|661.9149
194|3.4877|1.1211|74.8039|9.0968|1037.3656
177|4.1767|4.0301|18.4054|14.1903|155.9857
107|3.9837|1.7665|83.7112|21.8148|1155.6752
247|1.2415|0.6703|52.6892|85.4342|36.267
155|1.0935|2.9231|42.4007|45.8665|689.4638
233|1.4717|4.9613|98.255|8.8133|238.1428
239|2.8451|4.3301|50.7368|64.5088|1036.4227
21|2.5811|3.5884|58.5663|99.9394|711.8247
90|2.4111|3.913|16.6237|54.455|512.6423
103|2.86|0.6466|34.628|32.0165|545.5021
119|0.8084|3.3109|55.3136|92.3078|1381.2489
29|4.063|4.9961|62.6297|61.9071|1010.7646
246|4.6186|4.6772|86.2318|95.6429|225.7274
106|3.6336|3.7074|37.0763|93.0507|112.6607
33|1.3655|4.2282|68.2169|4.0557|840.1258
249|2.5637|2.935|17.5036|71.3718|174.7595
87|2.7325|1.4195|95.9434|43.2599|1497.6696
66|1.2982|1.0744|11.4716|37.9412|754.3116
142|4.519|3.634|37.996|43.5593|504.6243
27|2.6468|2.6434|43.205|49.1817|1037.7216
220|1.2958|4.0455|21.8935|48.0495|821.4013
134|4.8863|0.0588|86.4888|52.2087|1333.8603
108|4.8455|4.7472|63.7674|2.564|467.5694
53|0.3466|4.5105|38.9957|47.6645|763.3604
172|0.0632|1.367|12.0722|11.1179|1466.3338
32|1.2355|3.5628|52.1153|78.7783|1270.0491
80|3.2045|2.3682|56.2829|94.1997|1320.8364
197|3.5875|3.9781|61.5896|77.6023|398.1175
166|0.9845|3.8722|37.8405|79.8583|1274.249
33|2.9328|0.4044|71.9356|45.8404|1195.5015
60|1.7067|2.6041|13.6301|49.5978|247.1935
175|3.8139|1.8416|71.273|21.6025|1334.9489
13|3.2872|1.8608|91.6786|0.1211|814.9282
49|1.2238|0.5014|19.1421|3.873|496.4232
46|1.1811|3.1326|68.4007|79.9173|1079.1114
248|0.0297|1.0766|38.5431|37.2592|1419.6781
91|3.7178|2.0505|30.0228|15.8845|245.8923
184|4.8133|2.7083|54.1757|31.7612|274.9261
226|1.8842|3.5219|51.1187|83.7085|200.254
9|2.3093|0.6917|79.7044|16.094|1176.3348
203|4.4402|2.3037|29.2831|8.3963|1290.0525
174|4.0191|3.5154|88.7041|59.2603|849.0896
207|1.7038|4.1548|25.0115|14.753|400.6478
76|1.1242|3.9946|75.7954|71.832|343.6179
242|4.2038|1.4345|64.9609|66.4084|1301.4936
196|3.5729|4.4177|88.3361|88.941|398.7436
149|0.1127|2.2546|93.9737|58.3531|1375.9715
215|0.2576|2.0962|25.5796|29.597|448.1195
195|3.9227|2.9257|17.7901|98.3995|781.2274
187|2.1555|0.2176|26.8829|77.8101|580.5167
48|4.9861|0.7145|61.8166|11.0242|1456.136
218|4.4517|4.2184|84.928|77.4399|1269.436
215|0.228|1.0846|46.5193|52.0659|1205.4639
230|0.3817|0.9556|88.1374|58.7298|1299.2462
53|0.5646|2.4552|60.5324|77.5962|1268.3333
124|4.3712|3.4647|29.602|33.6823|650.933
106|1.8434|0.7452|84.088|97.3735|1026.417
205|2.6411|0.51|29.4058|74.1785|1343.5656
51|0.7714|1.6506|69.5836|97.3596|1083.0365
137|3.7549|2.7881|86.1116|34.2459|1209.8697
136|0.777|4.2018|65.3737|39.7505|1268.9819
119|1.8382|3.7819|39.7992|72.1553|1048.9555
218|3.6524|3.214|43.5005|68.9335|920.7206
198|4.5857|4.8365|17.6557|74.6566|224.9958
141|3.7064|2.357|80.6158|7.8692|767.6453
140|1.6227|3.9673|73.003|14.5146|171.5052
249|1.4571|4.9488|96.8935|82.6764|394.557
91|3.3512|0.851|46.9467|87.6628|594.8201
18|1.5399|3.4206|57.9395|9.0804|1473.3757
127|2.8419|4.1862|52.9792|52.969|565.4671
66|3.179|4.1813|73.3236|28.7594|1226.2449
66|1.2574|0.1625|15.45|76.7326|218.4723
187|3.4083|0.9591|85.66|55.4514|1105.3385
89|3.4126|1.451|42.1192|41.252|468.1216
249|3.89|3.8379|21.6091|71.8335|79.5577
229|1.1146|3.7403|92.8599|47.061|480.0976
131|4.1229|0.2929|21.302|30.8314|45.7796
149|1.9786|1.2308|92.2856|22.6254|34.0177
114|2.3302|1.2551|12.8537|31.0097|1209.8
194|1.3332|3.4521|22.1588|24.1969|821.4122
236|2.0268|0.2187|52.95|45.2768|1316.368
109|4.2381|3.7489|43.1602|55.1986|609.8218
26|3.0913|3.1383|38.2114|62.4307|1045.24
111|4.0243|3.3068|28.6311|36.0871|1096.3351
88|1.8416|3.471|61.3953|40.4418|167.8865
205|1.4481|1.2311|60.4712|30.1431|523.6955
246|0.7538|2.6805|45.2169|33.8973|1167.7649
105|4.8044|3.2683|92.3988|65.8367|365.2411
86|4.6705|0.2978|39.7928|23.4775|114.4439
65|3.3588|1.6894|65.2713|32.3025|1030.8631
203|2.4594|0.1138|87.1337|89.8867|1129.8402
6|2.5746|3.2316|54.6509|33.6757|203.0106
232|3.6745|0.5352|82.0922|67.3509|1070.1279
55|3.6678|1.8553|61.6189|98.2965|139.2247
41|3.6554|1.419|87.6905|54.809|238.677
169|4.8234|1.888|52.6863|86.6373|817.0773
23|4.7984|0.7391|20.5908|65.3889|1007.2353
167|3.6153|0.7146|13.2407|95.9041|173.942
93|3.9464|3.0583|76.5132|34.3898|829.2403
75|0.7337|2.5677|52.2524|26.4668|517.3334
98|0.33|0.9045|44.0217|51.1842|481.1229
149|3.7844|2.6995|56.7286|42.7488|659.8723
160|1.7015|3.9432|15.8863|1.5029|412.1471
83|0.347|2.8025|90.9834|43.7141|1377.9352
123|4.0971|3.3024|70.1081|21.8669|830.5413
126|0.0063|1.2671|37.6456|57.7422|320.7353
167|2.2421|4.4432|50.5184|33.3081|966.855
68|4.3509|4.1254|54.3036|13.9042|14.6685
85|4.9934|4.1373|52.3906|16.0997|812.3112
148|2.5636|2.6967|58.1716|46.3065|1421.0897
63|1.2939|4.6229|76.0715|14.3901|654.2914
177|1.0993|0.16|37.7461|58.21|1406.8479
193|3.3628|3.7454|74.3399|6.3569|1214.5061
154|3.8031|0.224|25.8495|49.3253|325.7133
197|1.4901|3.9146|76.8653|17.1585|1431.8709
153|4.104|2.4767|93.9519|50.0763|248.6144
206|1.2655|4.212|81.9061|71.2146|168.7546
175|3.3556|2.4775|86.0728|63.2572|1074.644
67|1.5474|1.5117|56.0301|80.2742|1060.8549
86|3.9921|0.827|76.0612|42.385|1097.6798
184|2.3536|4.0172|66.9202|27.4683|792.5859
152|3.8761|2.4376|21.4697|91.8335|622.7741
197|2.3253|1.6684|76.7257|34.9431|594.6228
41|2.3177|3.9882|42.6702|27.0726|490.5596
175|0.875|1.456|99.2179|94.9209|733.4499
124|0.3125|2.1576|91.6567|24.7938|254.6557
17|4.7169|0.6834|63.269|18.4936|206.618
194|2.7174|3.3545|10.9561|50.5723|1054.5923
126|3.0468|0.3087|44.0453|63.1788|1253.9601
174|1.8411|4.8192|20.4621|88.1365|1028.5504
54|1.4342|3.2745|40.1633|6.7594|185.2653
25|2.0522|4.1807|13.6427|42.1943|491.2028
118|3.3912|2.7534|14.7491|12.8493|451.4117
11|2.347|0.6523|41.4626|37.0034|765.5741
173|2.3035|0.1661|59.1285|77.9371|428.5415
133|3.626|2.1031|71.7484|3.3071|826.3491
250|2.5803|2.8096|43.0524|88.0271|341.4938
217|1.6068|3.425|96.1694|21.2704|361.2916
187|1.4447|4.8622|18.145|23.5831|18.2981
35|4.4019|4.7452|48.6118|69.3688|1066.0975
121|3.1595|2.9708|79.0521|20.6621|658.3558
80|0.228|4.1618|13.8632|94.4763|381.6617
219|1.6138|2.9655|83.604|75.9892|890.7438
100|3.3079|0.6884|52.8147|68.3305|1451.5536
187|3.3645|1.5313|51.6471|38.2898|60.5462
250|3.7023|1.2603|57.8902|42.0492|332.8144
20|0.7154|0.478|25.017|68.2121|582.8062
124|1.7981|4.1062|55.8365|35.367|878.5986
111|3.9017|0.4653|15.3587|61.2601|715.9303
134|1.0777|3.3943|41.9851|5.4022|693.3085
104|4.8549|2.4593|17.2799|63.401|1149.0681
187|4.5737|4.9464|55.3661|32.2483|446.1406
109|3.4362|0.5916|32.0988|34.5594|506.0332
83|3.816|1.1455|27.4284|62.1697|1009.9937
108|1.5125|4.6641|26.6509|9.4497|1073.1262
169|0.8279|0.171|69.6701|80.2274|1015.3377
214|4.5173|0.3459|57.9477|45.5523|1277.7183
6|2.1204|3.8978|51.7663|51.932|434.1837
204|0.5708|2.0611|54.9138|54.5076|102.5707
43|2.8857|1.9879|89.4508|63.7885|1163.7974
246|3.8671|1.2441|26.3418|50.2411|520.8107
61|3.2249|1.1159|76.6365|60.7994|541.197
17|3.49|1.7114|27.053|5.1689|673.9238
199|4.6574|0.7696|80.6379|50.1816|0.994
77|4.44|2.3267|70.2602|81.3091|11.8714
59|2.6838|1.1936|58.3045|7.3676|1135.1734
131|3.2331|1.5629|40.5039|31.3854|1234.4729
153|0.8772|4.1805|26.6641|49.5804|1343.4944
85|0.5764|4.4905|56.7944|14.9667|214.7941
5|1.7875|3.8233|55.7002|49.4872|653.0576
12|0.4031|0.612|78.5152|96.8745|725.4392
249|1.4967|0.4801|11.2715|77.1749|152.3687
218|3.9305|2.4053|52.4913|72.8725|167.4945
87|4.8848|4.5834|72.5427|57.3235|679.2181
245|0.453|1.2334|14.4107|67.0071|1153.6746
15|1.5845|0.4304|32.1612|81.9856|1413.926
57|1.0478|4.2801|79.26|91.7036|517.0983
109|2.192|2.3363|15.766|63.7842|443.8068
91|3.7314|0.7966|47.3609|83.3013|497.6186
86|1.1951|0.4494|35.7046|14.4141|1375.6721
190|2.1055|1.6638|14.7513|87.2529|393.3088
215|2.7281|4.3989|81.5978|16.4293|1026.661
192|2.0627|2.2225|42.2163|23.1758|452.5323
49|1.7474|1.3329|58.267|95.3472|52.4712
108|3.8156|1.0347|14.4255|39.9257|1436.638
92|4.8353|0.6469|74.0201|75.1013|1048.0545
226|4.7452|2.7353|33.0666|36.0131|312.8861
125|4.1257|0.1573|53.127|1.1223|1036.4994
129|4.1068|2.1414|52.8081|32.4794|1200.4834
173|0.6773|0.0526|10.0696|39.531|251.9572
205|4.7827|0.6183|92.826|81.7027|886.2039
150|2.8353|1.1997|27.145|26.6571|1480.7021
119|0.7318|1.2533|25.7374|7.2724|1081.8641
51|3.4169|1.9292|59.7465|93.7451|128.41
78|3.1441|1.8876|99.3554|4.1201|990.5206
3|4.9972|2.0447|93.527|42.5728|448.5703
129|2.1323|2.1461|75.589|60.2147|259.3985
67|4.6018|1.3733|27.0611|20.2306|933.7879
79|3.4009|4.3438|70.7798|94.7249|888.1493
79|3.9719|1.6353|60.9795|66.6877|1401.5793
136|0.485|0.5412|57.0555|65.6162|423.8787
72|2.8472|1.1734|53.3452|4.5182|1193.7039
203|2.8593|4.9744|14.9735|45.7178|1171.4645
229|1.6685|4.262|81.575|67.6432|649.1016
46|0.2867|1.4927|12.2184|96.5249|530.4056
39|4.5946|1.2846|97.8711|90.9729|469.5977
72|0.4544|3.9067|86.3888|4.7413|609.6563
223|1.6989|4.7293|87.5063|49.1032|945.8399
13|4.7043|3.1304|64.8251|3.1081|1089.9876
207|2.1473|4.2674|81.3647|88.2926|378.1321
103|0.8496|4.8777|77.8609|27.6384|711.399
231|1.3495|4.1613|25.7446|43.6204|1022.4127
231|3.997|4.958|61.068|81.1953|608.6358
47|0.8138|4.2939|62.2543|26.5357|890.9198
72|1.1016|3.9336|75.1805|39.0509|586.3714
51|4.506|2.9379|76.0281|35.3637|112.086
191|4.2168|2.3892|72.1315|25.5637|921.2046
176|4.2594|2.5267|87.1117|42.2076|539.3503
196|1.0259|2.5122|83.2766|3.9156|614.9151
3|0.5503|1.7044|46.0667|60.2265|936.6736
222|3.8531|3.8183|74.6657|66.3872|1319.2181
122|3.9936|3.5807|55.1546|89.7005|1372.0213
189|2.844|0.607|29.0644|11.5332|574.1478
170|0.1065|4.0895|55.1072|49.8594|981.0447
144|1.4082|0.6834|14.8988|21.0217|301.509
22|2.5478|3.0415|55.7867|98.1139|263.7153
194|3.4769|3.5765|83.7923|39.0709|719.2454
7|1.8903|1.5975|70.1744|84.1268|1393.0245
31|3.3109|1.0385|22.3693|17.3476|993.7765
93|4.9177|3.4832|56.1302|74.8154|36.1649
146|1.8009|0.6509|15.5189|45.4552|157.0094
110|3.1082|4.8556|72.1923|62.7218|661.0047
154|0.1804|2.6168|81.7961|62.0683|693.6714
69|0.6316|3.1872|73.7721|30.7591|1293.3011
144|1.0659|3.995|95.9624|82.0001|159.766
241|4.7698|0.4838|38.6017|13.0627|201.5341
58|0.5899|3.0591|94.3015|3.0498|1457.9936
218|4.6594|2.7175|98.2508|97.6927|352.2425
25|2.6078|4.957|47.37|97.8238|1173.5388
73|2.9189|3.8531|57.9826|27.6956|1156.0552
162|2.0045|4.2961|54.3851|44.9414|897.9188
234|2.453|1.2048|89.2809|14.1015|324.7887
119|3.2098|4.4195|79.7321|17.7875|450.926
33|4.6114|4.3342|60.4532|6.2026|1163.2424
80|3.7526|4.6535|12.3758|35.9489|866.8165
94|3.1516|4.2565|70.1989|48.8026|1248.7279
249|3.5485|3.2509|29.1411|50.2221|888.1154
189|1.8233|2.2455|84.8969|37.0624|742.2431
100|3.2618|0.5039|43.2765|56.4415|1125.2659
105|3.9513|2.9647|81.2705|30.9971|1006.154
153|2.3496|0.4466|57.9492|95.1013|1002.7297
77|3.4162|2.212|51.9245|56.4175|720.7086
105|1.7759|2.3743|36.5476|64.3975|916.6765
162|1.3467|2.1782|37.2318|87.6612|304.2539
250|3.0209|2.2521|69.3818|63.0444|288.5312
225|4.3834|3.9591|19.2782|34.316|383.1147
145|2.2682|1.1051|61.7645|94.8581|1061.3059
105|3.6345|0.1283|89.2957|9.9415|1199.249
120|3.7222|1.7895|25.0096|21.4726|1050.0317
98|4.1069|3.646|77.3386|50.1996|950.3618
143|0.6636|4.8604|51.3785|41.7224|433.083
159|0.163|0.3251|86.1093|94.1102|352.7352
100|4.4414|0.5322|75.4769|77.8932|739.593
56|0.8908|0.9039|40.2261|59.5762|829.0989
224|3.0633|2.1551|27.2683|1.3978|1290.4928
122|0.5555|2.571|87.1754|6.6647|136.2917
65|1.8434|3.9047|44.6217|70.9984|1113.4023
120|3.9553|4.5546|39.6287|13.3526|915.3926
227|3.9725|4.6467|42.7152|33.8512|1463.9343
111|2.0461|1.5526|18.6977|29.2132|1291.9074
191|3.3122|3.9141|81.3088|97.2215|650.9776
197|1.2267|0.7142|25.0891|8.4751|796.4883
151|3.0006|3.9781|67.596|8.439|568.0164
199|1.9795|0.5627|20.853|18.2061|1461.3954
18|2.9021|1.8886|36.891|81.9524|1328.8959
2|2.9659|0.9251|14.0687|81.2348|671.0441
116|2.657|4.9017|29.3381|93.992|1484.9791
124|3.5055|2.8253|62.9169|31.3176|1404.7465
156|3.1386|0.2924|48.1636|90.1025|1024.6947
106|4.107|2.4425|32.7504|9.0448|650.9719
207|4.282|4.2023|18.1289|58.8748|732.7004
9|4.3883|4.9485|39.7629|81.5877|42.6409
74|4.2815|0.8812|93.156|37.5111|1054.6508
250|2.8966|2.4242|27.3258|2.9888|1143.403
167|1.0296|1.857|51.4413|58.2837|1481.7023
11|0.8612|4.1825|30.8074|37.2827|1173.3556
221|0.0019|3.603|57.883|87.9704|1387.4262
173|3.7115|0.2647|53.5918|14.5951|782.6228
194|2.2304|3.7561|30.9263|23.189|665.0854
235|3.3962|3.5304|70.9514|0.8064|644.8129
236|2.0468|3.533|34.7535|16.7732|1123.3619
67|4.0395|0.5059|50.3743|76.2397|1315.0565
229|4.7625|3.5396|61.2083|17.07|1365.4682
166|1.3318|0.2729|38.5001|53.0924|63.0032
157|2.687|0.6363|60.153|68.4176|459.1644
68|2.7367|1.7227|61.2934|13.5419|1359.0699
89|1.2119|4.3426|72.2805|12.9803|696.2054
228|0.946|4.6124|42.3844|65.4202|838.958
232|3.0525|3.2223|70.5018|76.9798|369.5258
73|1.3221|1.7072|27.1089|26.7147|334.8822
131|2.854|1.8144|83.7448|98.0808|1260.6515
228|3.6105|1.5899|51.281|53.6822|981.2843
201|4.2373|4.5329|69.7494|42.0897|1020.6963
197|3.3936|0.6474|57.2564|40.1809|1214.0598
129|2.3868|3.784|65.7092|64.3862|810.3563
13|2.2695|4.6889|11.1019|5.4874|1112.4876
86|0.441|4.3749|21.2372|97.2424|784.5122
68|4.757|1.7868|64.4516|46.7039|836.5397
224|4.0769|1.2155|86.9295|36.4757|611.4679
114|4.3235|1.5687|86.6829|49.8181|1373.926
125|0.5292|2.9693|40.2877|72.8021|1452.2771
103|2.9503|2.986|36.4672|10.2748|160.106
228|3.3551|1.4136|96.3141|12.0966|828.7846
233|4.7422|4.4284|20.9875|23.1593|1069.4101
26|4.9492|0.5795|60.8222|34.7915|1412.9345
98|0.9986|3.0351|39.5068|52.9534|620.2067
187|1.4597|1.0474|30.7337|53.9295|1377.3485
242|3.7506|0.344|58.1435|32.5395|201.9881
169|2.4564|2.5294|11.2116|3.7237|811.5823
4|3.829|0.0229|62.5494|30.2654|1078.3974
30|1.9261|1.4288|44.6968|5.8212|208.5309
